label,url,suspicious,outcome,time
1,https://www.southbankmosaics.com,,error_status,10.028836250305176
1,https://www.uni-mainz.de,,error_status,10.022314548492432
1,https://www.voicefmradio.co.uk,,error_status,10.029611825942993
1,https://www.sfnmjournal.com,,error_status,10.034894704818726
1,https://www.rewildingargentina.org,,error_status,10.0230553150177
1,https://www.globalreporting.org,,error_status,10.022543668746948
1,https://www.saffronart.com,,error_status,10.022327184677124
1,https://www.nerdscandy.com,,error_status,10.041244506835938
1,https://www.hyderabadonline.in,,error_status,10.047163248062134
1,https://www.aap.org,,error_status,10.022053241729736
1,https://www.religionenlibertad.com,,error_status,10.0339515209198
0,http://www.teramill.com,,error_status,10.04504656791687
1,https://www.socialpolicy.org,,error_status,10.03615117073059
1,https://www.aoh61.com,,error_status,10.021234273910522
1,https://www.bulgariaski.com,,error_status,10.032909631729126
1,https://www.brightika.com,,error_status,10.041613101959229
1,https://www.motley.ie,,error_status,10.040137529373169
1,https://www.funzine.hu,,error_status,10.020404815673828
1,https://www.dixxon.com,,error_status,10.034542322158813
1,https://www.ooty.ind.in,,error_status,10.021121978759766
0,http://www.f0519141.xsph.ru,,error_status,10.022412776947021
0,http://www.shprakserf.gq,,error_status,10.042514324188232
1,https://www.cryptocompare.com,,error_status,10.023191928863525
1,https://www.diariodealmeria.es,,error_status,10.042565822601318
1,https://www.town.minamichita.lg.jp,,error_status,10.025205612182617
1,https://www.bwresearch.com,,error_status,10.037023782730103
1,https://www.musicvideoproduction.guru,,error_status,10.037946701049805
0,https://service-mitld.firebaseapp.com/,,error_status,10.037255764007568
0,http://www.kuradox92.lima-city.de,,error_status,10.035836696624756
0,https://liuy-9a930.web.app/,,error_status,10.032858610153198
1,https://www.landed.com,,error_status,10.03947138786316
0,https://ipfs.io/ipfs/qmrvvyr84esa2assw9vvwupqjgsdn4c3dwkusfdwzdz3kn?clientid=noc@protocol.ai,,error_status,10.032688856124878
0,http://att-103731-107123.weeblysite.com/,yes,success,10.740050792694092
1,https://www.bikeseoul.com,,error_status,10.040274143218994
0,https://hidok4f8zl.firebaseapp.com/,,error_status,10.020296096801758
1,https://www.ibeani.co.uk,,error_status,10.040958404541016
