label,URL,suspicious,outcome,time
1,https://www.theadanews.com,yes,fail,168.30218410491943
0,http://www.web2.hashgains.com,yes,success,16.650914907455444
1,https://www.mayfield.com,yes,fail,4.6850574016571045
1,https://www.imidaily.com,yes,fail,112.26961302757263
1,https://www.beppedepalma.com,no,success,23.00161337852478
0,https://onlinequranteaching.com/public/nzvjez64c8hpxfn8g6hdvff8yzdyhhfo,yes,success,9.228534460067749
1,https://www.christianheadlines.com,yes,fail,52.53834676742554
1,https://www.concretonline.com,yes,fail,50.12443661689758
0,http://www.mail-nepalarmy-mil-np-login-download.netlify.app,yes,success,6.638946056365967
0,http://www.hfdkegjsd.ru.xsph.ru,yes,success,4.812522888183594
1,https://www.areadevelopment.com,yes,fail,17.19557547569275
1,https://www.childbrides.org,yes,fail,7.1770548820495605
1,https://www.pureecoinc.com,yes,fail,24.91925573348999
1,https://www.siia.net,yes,fail,106.69315552711487
1,https://www.feelmagazine.nl,yes,fail,54.64417791366577
0,http://www.googleimg.top,yes,success,6.326689720153809
1,https://www.cerise.tokyo,yes,fail,32.270099401474
0,http://ianacurtis.rmxcontabilidade.com.br,yes,success,5.004760026931763
1,https://www.foodnavigator.com,yes,fail,44.81763792037964
0,https://s.amazenru-jp.com,yes,success,8.446032524108887
1,https://www.mamiworks.com,no,success,4.685697078704834
0,http://www.wifizone.org,no,fail,5.829653024673462
1,https://www.arthurveterinaryclinic.com,yes,fail,46.015655755996704
1,https://www.thecomfortcompany.com,yes,fail,97.09111738204956
0,https://rfde-107a7.web.app/,yes,success,6.015217542648315
1,https://www.stir.ac.uk,yes,fail,27.021387815475464
0,http://vinted-pl-gj32d.lanru.top/authorize/1662975258698217,yes,success,6.220684766769409
1,https://www.discoverbristol.co.uk,yes,fail,41.85437035560608
1,https://www.it-internet-design.de,no,success,7.68659234046936
1,https://www.openautoalliance.net,no,success,17.14323353767395
1,https://www.grossi.com.au,yes,fail,18.800517320632935
1,https://www.plainfeld.salzburg.at,yes,fail,98.91968274116516
1,https://www.lesaffaires.com,yes,fail,65.19496202468872
0,http://www.sikhsiyasatapp.net,yes,success,6.134364128112793
1,https://www.adamwalton.co.uk,yes,fail,6.878246068954468
0,http://www.pony4.microsoftups.com,yes,success,9.009615421295166
0,https://objectstorage.ap-singapore-1.oraclecloud.com/n/axo19n6cjxrb/b/bucket-20230214-2330/o/bigialopopoqueueindex.html,yes,success,6.808995723724365
1,https://www.meccanoindex.co.uk,yes,fail,15.3223876953125
1,https://www.thetoc.gr,yes,fail,56.43048024177551
1,https://www.mandsenergy.com,yes,fail,5.347436189651489
0,https://eth-pos.cc/#/,yes,success,8.814718246459961
0,http://www.play.stream.vidzi.tv,yes,success,5.119069814682007
0,http://www.mw.lt,no,fail,7.959973573684692
1,https://www.edisonlearning.com,yes,fail,59.60296702384949
0,https://uniswap-event.org/,yes,success,5.533721685409546
1,https://www.tiffany.com,yes,fail,6.079444408416748
1,https://www.poppinsonmackinac.com,yes,fail,45.71562099456787
0,http://www.beemail.online,yes,success,5.57482123374939
0,https://storageapi.fleek.co/0c4f1bc1-9bd4-4d7b-89b5-a58736a465bd-bucket/customindex.html,yes,success,5.111652851104736
