class_label,url,suspicious,outcome,time
1.0,http://example.com/test1,,error_status,9.562591075897217
1.0,http://example.com/test2,,error_status,12.616327285766602
1.0,http://example.com/test3,,error_exception,30.020511150360107
1.0,http://example.com/test4,,error_exception,30.01210069656372
1.0,http://example.com/test5,,error_status,12.195859432220459
1.0,http://example.com/test6,yes,success,18.993769884109497
1.0,http://example.com/test7,yes,success,23.937561988830566
1.0,http://example.com/test8,yes,success,24.42190718650818
1.0,http://example.com/test9,,error_exception,30.011072158813477
1.0,http://example.com/test10,,error_exception,30.028059720993042
1.0,http://example.com/test11,,error_exception,30.01092028617859
1.0,http://example.com/test12,yes,success,12.315605878829956
1.0,http://example.com/test13,,error_exception,30.009421825408936
1.0,http://example.com/test14,,error_exception,30.013240098953247
1.0,http://example.com/test15,,error_exception,30.0101056098938
1.0,http://example.com/test16,,error_exception,30.03037142753601
1.0,http://example.com/test17,,error_exception,30.011385440826416
1.0,http://example.com/test18,,error_exception,30.028754472732544
1.0,http://example.com/test19,yes,success,19.020792484283447
1.0,http://example.com/test20,,error_status,18.806114435195923
1.0,http://example.com/test21,yes,success,14.590883731842041
1.0,http://example.com/test22,,error_status,6.839373588562012
1.0,http://example.com/test23,yes,success,14.67466425895691
1.0,http://example.com/test24,,error_exception,30.008985996246338
1.0,http://example.com/test25,,error_status,29.715107202529907
1.0,http://example.com/test26,yes,success,15.811163902282715
